Data,Hora,Programa,Episódio,Nº do episódio,Media
07/07/2026,03:23,Coração Traído,Capítulo 47,47,e11ae29d-b977-4918-ab68-2a1103ce46bb
07/07/2026,04:16,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
07/07/2026,04:25,Pele Selvagem,Capítulo 47,47,068ffefe-66dd-46cf-ac08-2a185132bf13
07/07/2026,05:24,Amor e Ódio,Capítulo 47,47,6345111172112
07/07/2026,06:06,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
07/07/2026,06:17,Para Te Ver Melhor,Capítulo 6,6,6370707418112
07/07/2026,07:09,Eliana entrevista Anahí,Eliana entrevista Anahí,Eliana entrevista Anahí,25000115_rebeldia_1_18_01
07/07/2026,07:29,Camaleões,Capítulo 6,6,6368014471112
07/07/2026,08:22,Eliana entrevista Dulce María,Eliana entrevista Dulce María,Eliana entrevista Dulce María,25000115_rebeldia_1_17_01
07/07/2026,08:55,Rebelde Temporada 1,Capítulo 47,47,6352185451112
07/07/2026,09:26,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
07/07/2026,09:38,Coração Traído,Capítulo 47,47,e11ae29d-b977-4918-ab68-2a1103ce46bb
07/07/2026,10:31,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
07/07/2026,10:40,Pele Selvagem,Capítulo 47,47,068ffefe-66dd-46cf-ac08-2a185132bf13
07/07/2026,11:39,Amor e Ódio,Capítulo 47,47,6345111172112
07/07/2026,12:22,Para Te Ver Melhor,Capítulo 6,6,6370707418112
07/07/2026,13:14,Camaleões,Capítulo 6,6,6368014471112
07/07/2026,14:07,Eliana entrevista Dulce María,Eliana entrevista Dulce María,Eliana entrevista Dulce María,25000115_rebeldia_1_17_01
07/07/2026,14:40,Rebelde Temporada 1,Capítulo 47,47,6352185451112
07/07/2026,15:11,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
07/07/2026,15:23,Coração Traído,Capítulo 47,47,e11ae29d-b977-4918-ab68-2a1103ce46bb
07/07/2026,16:16,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
07/07/2026,16:25,Pele Selvagem,Capítulo 47,47,068ffefe-66dd-46cf-ac08-2a185132bf13
07/07/2026,17:24,Amor e Ódio,Capítulo 47,47,6345111172112
07/07/2026,18:06,Para Te Ver Melhor,Capítulo 6,6,6370707418112
07/07/2026,18:59,Eliana entrevista Anahí,Eliana entrevista Anahí,Eliana entrevista Anahí,25000115_rebeldia_1_18_01
07/07/2026,19:19,Camaleões,Capítulo 6,6,6368014471112
07/07/2026,20:31,Rebelde Temporada 1,Capítulo 47,47,6352185451112
07/07/2026,21:02,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
07/07/2026,21:14,Coração Traído,Capítulo 47,47,e11ae29d-b977-4918-ab68-2a1103ce46bb
07/07/2026,22:07,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
07/07/2026,22:16,Pele Selvagem,Capítulo 47,47,068ffefe-66dd-46cf-ac08-2a185132bf13
07/07/2026,23:15,Amor e Ódio,Capítulo 47,47,6345111172112
08/07/2026,00:00,Entrevista com Pedro Damián,Entrevista com Pedro Damián,Entrevista com Pedro Damián,25000115_rebeldia_1_24_01
08/07/2026,00:23,Para Te Ver Melhor,Capítulo 7,7,6370707028112
08/07/2026,01:14,Rebelde passeia de barco pelo Guarujá ,Rebelde passeia de barco pelo Guarujá,Rebelde passeia de barco pelo Guarujá,25000115_rebeldia_1_13_01
08/07/2026,01:22,Camaleões,Capítulo 7,7,6368014472112
08/07/2026,02:10,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
08/07/2026,02:22,Rebelde Temporada 1,Capítulo 48,48,6352185749112
08/07/2026,03:14,Curiosidades da infância ,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
08/07/2026,03:23,Coração Traído,Capítulo 48,48,f34c527e-3279-48d8-8922-de09b70a89bc
08/07/2026,04:22,Pele Selvagem,Capítulo 48,48,86dc965f-d393-426e-ad36-c12f2fa450a1
08/07/2026,05:16,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
08/07/2026,05:25,Amor e Ódio,Capítulo 48,48,6345111965112
08/07/2026,06:05,Entrevista com Pedro Damián,Entrevista com Pedro Damián,Entrevista com Pedro Damián,25000115_rebeldia_1_24_01
08/07/2026,06:29,Para Te Ver Melhor,Capítulo 7,7,6370707028112
08/07/2026,07:20,Rebelde passeia de barco pelo Guarujá ,Rebelde passeia de barco pelo Guarujá,Rebelde passeia de barco pelo Guarujá,25000115_rebeldia_1_13_01
08/07/2026,07:28,Camaleões,Capítulo 7,7,6368014472112
08/07/2026,08:16,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
08/07/2026,08:28,Rebelde Temporada 1,Capítulo 48,48,6352185749112
08/07/2026,09:20,Curiosidades da infância ,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
08/07/2026,09:29,Coração Traído,Capítulo 48,48,f34c527e-3279-48d8-8922-de09b70a89bc
08/07/2026,10:28,Pele Selvagem,Capítulo 48,48,86dc965f-d393-426e-ad36-c12f2fa450a1
08/07/2026,11:22,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
08/07/2026,11:31,Amor e Ódio,Capítulo 48,48,6345111965112
08/07/2026,12:12,Para Te Ver Melhor,Capítulo 7,7,6370707028112
