Data,Hora,Programa,Episódio,Nº do episódio,Media
19/06/2026,05:06,Pele Selvagem,Capítulo 35,35,d6db14b3-2197-4623-9e14-aff5d568d930
19/06/2026,05:35,Amor e Ódio,Capítulo 35,35,6345110471112
19/06/2026,06:23,Maite Perroni no Programa Raul Gil ,Maite Perroni no Programa Raul Gil,Maite Perroni no Programa Raul Gil,25000115_rebeldia_1_20_01
19/06/2026,06:43,Gata Selvagem ,Capítulo 240,240,6367087020112
19/06/2026,07:37,Gata Selvagem ,Capítulo 241,241,6367087614112
19/06/2026,08:28,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
19/06/2026,08:39,Rebelde Temporada 1,Capítulo 35,35,6352058575112
19/06/2026,09:30,Tour Soul Rebelde 2023,,,FILLER7_REBELDE_NOVELAS
19/06/2026,09:37,Coração Traído,Capítulo 35,35,215d01e8-510c-45a6-9f9e-0ea204ce28f8
19/06/2026,10:31,Pele Selvagem,Capítulo 35,35,d6db14b3-2197-4623-9e14-aff5d568d930
19/06/2026,11:25,Amor e Ódio,Capítulo 35,35,6345110471112
19/06/2026,12:14,Maite Perroni no Programa Raul Gil ,Maite Perroni no Programa Raul Gil,Maite Perroni no Programa Raul Gil,25000115_rebeldia_1_20_01
19/06/2026,12:33,Gata Selvagem ,Capítulo 240,240,6367087020112
19/06/2026,13:28,Gata Selvagem ,Capítulo 241,241,6367087614112
19/06/2026,14:19,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
19/06/2026,14:29,Rebelde Temporada 1,Capítulo 35,35,6352058575112
19/06/2026,15:21,Tour Soul Rebelde 2023,,,FILLER7_REBELDE_NOVELAS
19/06/2026,15:27,Coração Traído,Capítulo 35,35,215d01e8-510c-45a6-9f9e-0ea204ce28f8
19/06/2026,16:21,Pele Selvagem,Capítulo 35,35,d6db14b3-2197-4623-9e14-aff5d568d930
19/06/2026,17:15,Amor e Ódio,Capítulo 35,35,6345110471112
