Data,Hora,Programa,Episódio,Nº do episódio,Media
22/05/2026,03:27,Semana Rebelde no Fofocalizando - Maite Perroni,Semana Rebelde no Fofocalizando - Maite Perroni,Semana Rebelde no Fofocalizando - Maite Perroni,25000115_rebeldia_1_04_01
22/05/2026,03:34,"Semana Rebelde no Fofocalizando - Alfonso, Christian e Christopher","Semana Rebelde no Fofocalizando - Alfonso, Christian e Christopher","Semana Rebelde no Fofocalizando - Alfonso, Christian e Christopher",25000115_rebeldia_1_07_01
22/05/2026,03:40,Coração Traído,Capítulo 15,15,5ed634ca-55c5-4ec6-af19-912203336b93
22/05/2026,04:32,Pele Selvagem,Capítulo 15,15,a117db2d-8f5c-4642-9b06-7b45e273d7b6
22/05/2026,05:25,Amor e Ódio,Capítulo 15,15,6345113310112
22/05/2026,06:09,Gata Selvagem ,Capítulo 200,200,6367086103112
22/05/2026,07:04,Gata Selvagem ,Capítulo 201,201,6367086732112
22/05/2026,07:57,Rodolfo acompanha RBD no México,Rodolfo acompanha RBD no México,Rodolfo acompanha RBD no México,25000115_rebeldia_1_12_01
22/05/2026,08:17,Rebelde Temporada 1,Capítulo 15,15,6352180825112
22/05/2026,09:08,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
22/05/2026,09:20,Coração Traído,Capítulo 15,15,5ed634ca-55c5-4ec6-af19-912203336b93
22/05/2026,10:12,Pele Selvagem,Capítulo 15,15,a117db2d-8f5c-4642-9b06-7b45e273d7b6
22/05/2026,11:06,Amor e Ódio,Capítulo 15,15,6345113310112
22/05/2026,11:49,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
22/05/2026,12:01,Gata Selvagem ,Capítulo 200,200,6367086103112
22/05/2026,12:56,Gata Selvagem ,Capítulo 201,201,6367086732112
22/05/2026,13:49,RebelDia,Eliana entrevista Anahí,23,3a4f8e37-39d4-44e7-8919-891d7d790bbe
22/05/2026,14:09,Rebelde Temporada 1,Capítulo 15,15,6352180825112
22/05/2026,15:00,Eliana entrevista Dulce María,Eliana entrevista Dulce María,37,56f4978f-da96-4c91-af1b-4a0a7ccb14da
22/05/2026,15:14,Coração Traído,Capítulo 15,15,5ed634ca-55c5-4ec6-af19-912203336b93
22/05/2026,16:06,Pele Selvagem,Capítulo 15,15,a117db2d-8f5c-4642-9b06-7b45e273d7b6
22/05/2026,16:59,Amor e Ódio,Capítulo 15,15,6345113310112
22/05/2026,17:43,Maite Perroni no Programa Raul Gil ,Maite Perroni no Programa Raul Gil,Maite Perroni no Programa Raul Gil,25000115_rebeldia_1_20_01
22/05/2026,18:02,Gata Selvagem ,Capítulo 200,200,6367086103112
22/05/2026,18:57,Gata Selvagem ,Capítulo 201,201,6367086732112
22/05/2026,19:50,RebelDia,Christopher Uckermann no Raul Gil,32,80d46c87-f1e0-4440-aa46-1b6eeac4615f
22/05/2026,20:06,Rebelde Temporada 1,Capítulo 15,15,6352180825112
22/05/2026,20:57,RebelDia,Adriane Galisteu entrevista RBD,10,d53dfc36-6687-40ff-800e-52b0b7636e4f
22/05/2026,21:10,Coração Traído,Capítulo 15,15,5ed634ca-55c5-4ec6-af19-912203336b93
22/05/2026,22:02,Pele Selvagem,Capítulo 15,15,a117db2d-8f5c-4642-9b06-7b45e273d7b6
22/05/2026,22:55,Amor e Ódio,Capítulo 15,15,6345113310112
22/05/2026,23:39,Rodolfo acompanha RBD no México,Rodolfo acompanha RBD no México,Rodolfo acompanha RBD no México,25000115_rebeldia_1_12_01
22/05/2026,23:59,Gata Selvagem ,Capítulo 193,193,6367085225112
23/05/2026,00:53,Gata Selvagem ,Capítulo 194,194,6367084739112
23/05/2026,01:44,Gata Selvagem ,Capítulo 195,195,6367085720112
23/05/2026,02:35,Gata Selvagem ,Capítulo 196,196,6367085721112
23/05/2026,03:26,Gata Selvagem ,Capítulo 197,197,6367085997112
23/05/2026,04:17,Gata Selvagem ,Capítulo 198,198,6367086387112
23/05/2026,05:08,Gata Selvagem ,Capítulo 199,199,6367085719112
23/05/2026,05:59,Gata Selvagem ,Capítulo 200,200,6367086103112
23/05/2026,06:51,Gata Selvagem ,Capítulo 201,201,6367086732112
23/05/2026,07:43,Rebelde Temporada 1,Capítulo 11,11,6352181513112
23/05/2026,08:37,Rebelde Temporada 1,Capítulo 12,12,6352179832112
23/05/2026,09:26,Rebelde Temporada 1,Capítulo 13,13,6352180928112
23/05/2026,10:16,Rebelde Temporada 1,Capítulo 14,14,6352181515112
23/05/2026,11:16,Rebelde Temporada 1,Capítulo 15,15,6352180825112
23/05/2026,12:06,Gata Selvagem ,Capítulo 193,193,6367085225112
23/05/2026,12:59,Gata Selvagem ,Capítulo 194,194,6367084739112
23/05/2026,13:51,Gata Selvagem ,Capítulo 195,195,6367085720112
23/05/2026,14:42,Gata Selvagem ,Capítulo 196,196,6367085721112
23/05/2026,15:32,Gata Selvagem ,Capítulo 197,197,6367085997112
23/05/2026,16:24,Gata Selvagem ,Capítulo 198,198,6367086387112
23/05/2026,17:14,Gata Selvagem ,Capítulo 199,199,6367085719112
23/05/2026,18:05,Gata Selvagem ,Capítulo 200,200,6367086103112
23/05/2026,18:58,Gata Selvagem ,Capítulo 201,201,6367086732112
23/05/2026,19:49,Rebelde Temporada 1,Capítulo 11,11,6352181513112
23/05/2026,20:43,Rebelde Temporada 1,Capítulo 12,12,6352179832112
23/05/2026,21:33,Rebelde Temporada 1,Capítulo 13,13,6352180928112
23/05/2026,22:22,Rebelde Temporada 1,Capítulo 14,14,6352181515112
23/05/2026,23:22,Rebelde Temporada 1,Capítulo 15,15,6352180825112
24/05/2026,00:12,Coração Traído,Capítulo 11,11,06cc5da4-a43f-47f6-a6dd-3eb47302c4d2
24/05/2026,01:06,Coração Traído,Capítulo 12,12,832fa6ac-880b-43ec-bb76-3e209a405c33
24/05/2026,01:59,Coração Traído,Capítulo 13,13,2c3b390d-d59d-46c0-9e72-45f888e4156b
24/05/2026,02:52,Coração Traído,Capítulo 14,14,a833c458-6993-4c01-826b-d7ee2942936c
24/05/2026,03:44,Coração Traído,Capítulo 15,15,5ed634ca-55c5-4ec6-af19-912203336b93
24/05/2026,04:35,Pele Selvagem,Capítulo 11,11,6e8e2093-04a0-4684-9f96-d4ffbc8029c6
24/05/2026,05:30,Pele Selvagem,Capítulo 12,12,0def4996-087e-4cfd-88f4-a8dc17e7b29a
