Data,Hora,Programa,Episódio,Nº do episódio,Media
13/07/2026,03:07,Camaleões,Capítulo 10,10,6368014684112
13/07/2026,03:26,Rebelde Temporada 1,Capítulo 51,51,6352184773112
13/07/2026,04:17,Coração Traído,Capítulo 51,51,cc0ff148-428f-4af4-af3a-b7c271df7255
13/07/2026,05:15,Pele Selvagem,Capítulo 51,51,c78df970-8fa5-42de-9736-1503ffd8c982
13/07/2026,06:13,Amor e Ódio,Capítulo 51,51,6345112825112
13/07/2026,06:54,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
13/07/2026,07:03,Para Te Ver Melhor,Capítulo 10,10,6370705677112
13/07/2026,08:02,Camaleões,Capítulo 10,10,6368014684112
13/07/2026,08:52,Rebelde Temporada 1,Capítulo 51,51,6352184773112
13/07/2026,09:43,Coração Traído,Capítulo 51,51,cc0ff148-428f-4af4-af3a-b7c271df7255
13/07/2026,10:41,Pele Selvagem,Capítulo 51,51,c78df970-8fa5-42de-9736-1503ffd8c982
13/07/2026,11:35,Amor e Ódio,Capítulo 51,51,6345112825112
13/07/2026,12:17,Para Te Ver Melhor,Capítulo 10,10,6370705677112
13/07/2026,13:16,Camaleões,Capítulo 10,10,6368014684112
13/07/2026,14:09,Rebelde Temporada 1,Capítulo 51,51,6352184773112
13/07/2026,15:00,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
13/07/2026,15:11,Coração Traído,Capítulo 51,51,cc0ff148-428f-4af4-af3a-b7c271df7255
13/07/2026,16:08,Pele Selvagem,Capítulo 51,51,c78df970-8fa5-42de-9736-1503ffd8c982
13/07/2026,17:07,Amor e Ódio,Capítulo 51,51,6345112825112
13/07/2026,17:48,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
13/07/2026,17:57,Para Te Ver Melhor,Capítulo 10,10,6370705677112
13/07/2026,18:56,Camaleões,Capítulo 10,10,6368014684112
13/07/2026,19:49,Rebelde Temporada 1,Capítulo 51,51,6352184773112
13/07/2026,20:40,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
13/07/2026,20:51,Coração Traído,Capítulo 51,51,cc0ff148-428f-4af4-af3a-b7c271df7255
13/07/2026,21:45,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
13/07/2026,21:57,Pele Selvagem,Capítulo 51,51,c78df970-8fa5-42de-9736-1503ffd8c982
13/07/2026,22:51,Curiosidades da infância ,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
13/07/2026,23:01,Amor e Ódio,Capítulo 51,51,6345112825112
13/07/2026,23:42,Rodolfo acompanha RBD no México,Rodolfo acompanha RBD no México,Rodolfo acompanha RBD no México,25000115_rebeldia_1_12_01
14/07/2026,00:02,Para Te Ver Melhor,Capítulo 11,11,6371370099112
14/07/2026,00:56,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
14/07/2026,01:05,Camaleões,Capítulo 11,11,6368436328112
14/07/2026,01:57,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
14/07/2026,02:09,Rebelde Temporada 1,Capítulo 52,52,6352184953112
14/07/2026,03:06,Coração Traído,Capítulo 52,52,1818d73e-7ad8-4976-8542-db7450afd828
