Data,Hora,Programa,Episódio,Nº do episódio,Media
01/08/2026,02:43,Rebelde Temporada 1,Capítulo 64,64,6352184210112
01/08/2026,03:32,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,25000115_rebeldia_1_26_01
01/08/2026,03:39,Coração Traído,Capítulo 64,64,336fc110-4ae7-4043-b42f-3c29db4e8ce6
01/08/2026,04:34,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
01/08/2026,04:43,Pele Selvagem,Capítulo 64,64,98e877e7-8ca8-4c61-9038-1597d4a92563
01/08/2026,05:34,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
01/08/2026,05:44,Amor e Ódio,Capítulo 64,64,6345112161112
01/08/2026,06:26,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
01/08/2026,06:38,Para Te Ver Melhor,Capítulo 24,24,6371792228112
01/08/2026,07:32,Rebelde passeia de barco pelo Guarujá ,Rebelde passeia de barco pelo Guarujá,Rebelde passeia de barco pelo Guarujá,25000115_rebeldia_1_13_01
01/08/2026,07:40,Camaleões,Capítulo 24,24,6368434497112
01/08/2026,08:33,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
01/08/2026,08:42,Rebelde Temporada 1,Capítulo 64,64,6352184210112
01/08/2026,09:31,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,25000115_rebeldia_1_26_01
01/08/2026,09:38,Coração Traído,Capítulo 64,64,336fc110-4ae7-4043-b42f-3c29db4e8ce6
01/08/2026,10:33,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
01/08/2026,10:42,Pele Selvagem,Capítulo 64,64,98e877e7-8ca8-4c61-9038-1597d4a92563
01/08/2026,11:33,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
01/08/2026,11:43,Amor e Ódio,Capítulo 64,64,6345112161112
01/08/2026,12:25,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
01/08/2026,12:37,Para Te Ver Melhor,Capítulo 24,24,6371792228112
01/08/2026,13:31,Rebelde passeia de barco pelo Guarujá ,Rebelde passeia de barco pelo Guarujá,Rebelde passeia de barco pelo Guarujá,25000115_rebeldia_1_13_01
01/08/2026,13:39,Camaleões,Capítulo 24,24,6368434497112
01/08/2026,14:32,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
01/08/2026,14:41,Rebelde Temporada 1,Capítulo 64,64,6352184210112
01/08/2026,15:30,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,25000115_rebeldia_1_26_01
01/08/2026,15:37,Coração Traído,Capítulo 64,64,336fc110-4ae7-4043-b42f-3c29db4e8ce6
01/08/2026,16:32,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
01/08/2026,16:41,Pele Selvagem,Capítulo 64,64,98e877e7-8ca8-4c61-9038-1597d4a92563
01/08/2026,17:32,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
01/08/2026,17:42,Amor e Ódio,Capítulo 64,64,6345112161112
01/08/2026,18:24,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
01/08/2026,18:36,Para Te Ver Melhor,Capítulo 24,24,6371792228112
01/08/2026,19:30,Rebelde passeia de barco pelo Guarujá ,Rebelde passeia de barco pelo Guarujá,Rebelde passeia de barco pelo Guarujá,25000115_rebeldia_1_13_01
01/08/2026,19:38,Camaleões,Capítulo 24,24,6368434497112
01/08/2026,20:31,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
01/08/2026,20:40,Rebelde Temporada 1,Capítulo 64,64,6352184210112
01/08/2026,21:29,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,25000115_rebeldia_1_26_01
01/08/2026,21:36,Coração Traído,Capítulo 64,64,336fc110-4ae7-4043-b42f-3c29db4e8ce6
01/08/2026,22:31,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
01/08/2026,22:40,Pele Selvagem,Capítulo 64,64,98e877e7-8ca8-4c61-9038-1597d4a92563
01/08/2026,23:31,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
01/08/2026,23:41,Amor e Ódio,Capítulo 64,64,6345112161112
