Data,Hora,Programa,Episódio,Nº do episódio,Media
16/07/2026,02:24,Rebelde Temporada 1,Capítulo 54,54,6352184180112
16/07/2026,03:05,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
16/07/2026,03:16,Coração Traído,Capítulo 54,54,b1b394d6-36ae-47bf-ac84-978da7dc124d
16/07/2026,04:10,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
16/07/2026,04:19,Pele Selvagem,Capítulo 54,54,598c3463-1212-4f90-8013-8fcb25f0c308
16/07/2026,05:11,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
16/07/2026,05:22,Amor e Ódio,Capítulo 54,54,6345113110112
16/07/2026,06:03,Maite Perroni no Programa Raul Gil ,Maite Perroni no Programa Raul Gil,Maite Perroni no Programa Raul Gil,25000115_rebeldia_1_20_01
16/07/2026,06:22,Para Te Ver Melhor,Capítulo 13,13,6371369024112
16/07/2026,07:21,Camaleões,Capítulo 13,13,6368434482112
16/07/2026,08:12,Curiosidades da infância ,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
16/07/2026,08:21,Rebelde Temporada 1,Capítulo 54,54,6352184180112
16/07/2026,09:11,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
16/07/2026,09:22,Coração Traído,Capítulo 54,54,b1b394d6-36ae-47bf-ac84-978da7dc124d
16/07/2026,10:16,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
16/07/2026,10:25,Pele Selvagem,Capítulo 54,54,598c3463-1212-4f90-8013-8fcb25f0c308
16/07/2026,11:17,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
16/07/2026,11:28,Amor e Ódio,Capítulo 54,54,6345113110112
16/07/2026,12:15,Para Te Ver Melhor,Capítulo 13,13,6371369024112
16/07/2026,13:13,Camaleões,Capítulo 13,13,6368434482112
16/07/2026,14:04,Curiosidades da infância ,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
16/07/2026,14:14,Rebelde Temporada 1,Capítulo 54,54,6352184180112
16/07/2026,15:04,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
16/07/2026,15:14,Coração Traído,Capítulo 54,54,b1b394d6-36ae-47bf-ac84-978da7dc124d
16/07/2026,16:09,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
16/07/2026,16:17,Pele Selvagem,Capítulo 54,54,598c3463-1212-4f90-8013-8fcb25f0c308
16/07/2026,17:10,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
16/07/2026,17:20,Amor e Ódio,Capítulo 54,54,6345113110112
16/07/2026,18:07,Para Te Ver Melhor,Capítulo 13,13,6371369024112
16/07/2026,19:05,Camaleões,Capítulo 13,13,6368434482112
