Data,Hora,Programa,Episódio,Nº do episódio,Media
08/09/2026,21:00,Coração Traído,Capítulo 92,92,fc99cc1d-0e4d-45a5-8b8d-68fed91bbbb6
08/09/2026,22:02,Pele Selvagem,Capítulo 92,92,17baf879-36ca-4061-a6a9-de90661066e1
08/09/2026,23:05,Amor e Ódio,Capítulo 92,92,6345113013112
09/09/2026,00:00,Para Te Ver Melhor,Capítulo 51,51,6371870376112
09/09/2026,01:01,Camaleões,Capítulo 51,51,6369938172112
09/09/2026,02:00,Rebelde Temporada 1,Capítulo 92,92,6352191773112
09/09/2026,02:59,Coração Traído,Capítulo 92,92,fc99cc1d-0e4d-45a5-8b8d-68fed91bbbb6
09/09/2026,04:01,Pele Selvagem,Capítulo 92,92,17baf879-36ca-4061-a6a9-de90661066e1
09/09/2026,05:09,Amor e Ódio,Capítulo 92,92,6345113013112
09/09/2026,06:00,Para Te Ver Melhor,Capítulo 52,52,6371869804112
09/09/2026,06:58,Camaleões,Capítulo 52,52,6369940038112
09/09/2026,07:57,Rebelde Temporada 1,Capítulo 93,93,6352422052112
09/09/2026,08:56,Coração Traído,Capítulo 93,93,25f08175-b395-427c-a11f-f79cd42a11e5
09/09/2026,10:00,Pele Selvagem,Capítulo 93,93,0e3f3ee8-098c-42b9-a821-d1bf90b034e0
09/09/2026,11:04,Amor e Ódio,Capítulo 93,93,6345112624112
09/09/2026,12:00,Para Te Ver Melhor,Capítulo 52,52,6371869804112
09/09/2026,12:58,Camaleões,Capítulo 52,52,6369940038112
09/09/2026,13:57,Rebelde Temporada 1,Capítulo 93,93,6352422052112
09/09/2026,14:56,Coração Traído,Capítulo 93,93,25f08175-b395-427c-a11f-f79cd42a11e5
09/09/2026,16:00,Pele Selvagem,Capítulo 93,93,0e3f3ee8-098c-42b9-a821-d1bf90b034e0
09/09/2026,17:04,Amor e Ódio,Capítulo 93,93,6345112624112
09/09/2026,18:00,Para Te Ver Melhor,Capítulo 52,52,6371869804112
09/09/2026,18:58,Camaleões,Capítulo 52,52,6369940038112
09/09/2026,19:57,Rebelde Temporada 1,Capítulo 93,93,6352422052112
09/09/2026,20:56,Coração Traído,Capítulo 93,93,25f08175-b395-427c-a11f-f79cd42a11e5
09/09/2026,22:00,Pele Selvagem,Capítulo 93,93,0e3f3ee8-098c-42b9-a821-d1bf90b034e0
09/09/2026,23:04,Amor e Ódio,Capítulo 93,93,6345112624112
10/09/2026,00:00,Para Te Ver Melhor,Capítulo 52,52,6371869804112
10/09/2026,00:58,Camaleões,Capítulo 52,52,6369940038112
10/09/2026,01:57,Rebelde Temporada 1,Capítulo 93,93,6352422052112
10/09/2026,02:57,Coração Traído,Capítulo 93,93,25f08175-b395-427c-a11f-f79cd42a11e5
10/09/2026,03:58,Pele Selvagem,Capítulo 93,93,0e3f3ee8-098c-42b9-a821-d1bf90b034e0
10/09/2026,05:01,Amor e Ódio,Capítulo 93,93,6345112624112
10/09/2026,06:00,Para Te Ver Melhor,Capítulo 53,53,6371870869112
10/09/2026,06:59,Camaleões,Capítulo 53,53,6369937981112
10/09/2026,08:03,Rebelde Temporada 1,Capítulo 94,94,6352425954112
10/09/2026,09:03,Coração Traído,Capítulo 94,94,aaa69b1a-ed3a-4f54-9e15-da8d07c9c672
10/09/2026,10:05,Pele Selvagem,Capítulo 94,94,89e76c7b-5aa0-440e-bb00-8cfef8d52403
10/09/2026,11:05,Amor e Ódio,Capítulo 94,94,6345111064112
10/09/2026,11:59,Para Te Ver Melhor,Capítulo 53,53,6371870869112
10/09/2026,12:59,Camaleões,Capítulo 53,53,6369937981112
10/09/2026,14:03,Rebelde Temporada 1,Capítulo 94,94,6352425954112
10/09/2026,15:03,Coração Traído,Capítulo 94,94,aaa69b1a-ed3a-4f54-9e15-da8d07c9c672
10/09/2026,16:04,Pele Selvagem,Capítulo 94,94,89e76c7b-5aa0-440e-bb00-8cfef8d52403
10/09/2026,17:05,Amor e Ódio,Capítulo 94,94,6345111064112
10/09/2026,17:59,Para Te Ver Melhor,Capítulo 53,53,6371870869112
10/09/2026,18:59,Camaleões,Capítulo 53,53,6369937981112
10/09/2026,20:03,Rebelde Temporada 1,Capítulo 94,94,6352425954112
10/09/2026,21:03,Coração Traído,Capítulo 94,94,aaa69b1a-ed3a-4f54-9e15-da8d07c9c672
10/09/2026,22:04,Pele Selvagem,Capítulo 94,94,89e76c7b-5aa0-440e-bb00-8cfef8d52403
10/09/2026,23:05,Amor e Ódio,Capítulo 94,94,6345111064112
10/09/2026,23:59,Para Te Ver Melhor,Capítulo 53,53,6371870869112
11/09/2026,00:59,Camaleões,Capítulo 53,53,6369937981112
11/09/2026,02:03,Rebelde Temporada 1,Capítulo 94,94,6352425954112
11/09/2026,03:03,Coração Traído,Capítulo 94,94,aaa69b1a-ed3a-4f54-9e15-da8d07c9c672
11/09/2026,04:04,Pele Selvagem,Capítulo 94,94,89e76c7b-5aa0-440e-bb00-8cfef8d52403
11/09/2026,05:05,Amor e Ódio,Capítulo 94,94,6345111064112
11/09/2026,06:00,Para Te Ver Melhor,Capítulo 54,54,6371870590112
11/09/2026,06:58,Camaleões,Capítulo 54,54,6369938258112
11/09/2026,07:57,Rebelde Temporada 1,Capítulo 95,95,6352427237112
11/09/2026,08:55,Coração Traído,Capítulo 95,95,75a29f1c-3434-44e5-902a-12a30db15a82
11/09/2026,09:59,Pele Selvagem,Capítulo 95,95,db264922-dacb-4e54-83b2-f5c924639b28
