Data,Hora,Programa,Episódio,Nº do episódio,Media
11/05/2026,03:12,Rebelde Temporada 1,Capítulo 6,6,6352179637112
11/05/2026,03:21,Coração Traído,Capítulo 6,6,49cf465c-6d8f-41ca-9355-476cb125e86f
11/05/2026,04:17,Pele Selvagem,Capítulo 6,6,05938f00-2ad1-4a2d-a5da-9f93795845d2
11/05/2026,05:16,Amor e Ódio,Capítulo 6,6,6345112626112
11/05/2026,06:04,RebelDia,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
11/05/2026,06:14,A Mulher Perfeita ,Capítulo 134,134,6375689897112
11/05/2026,07:19,Gata Selvagem ,Capítulo 188,188,6367087070112
11/05/2026,08:15,Rebelde Temporada 1,Capítulo 6,6,6352179637112
11/05/2026,09:10,Coração Traído,Capítulo 6,6,49cf465c-6d8f-41ca-9355-476cb125e86f
11/05/2026,10:06,Pele Selvagem,Capítulo 6,6,05938f00-2ad1-4a2d-a5da-9f93795845d2
11/05/2026,11:05,Amor e Ódio,Capítulo 6,6,6345112626112
11/05/2026,11:53,RebelDia,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
11/05/2026,12:03,A Mulher Perfeita ,Capítulo 134,134,6375689897112
11/05/2026,13:08,Gata Selvagem ,Capítulo 188,188,6367087070112
11/05/2026,14:04,Rebelde Temporada 1,Capítulo 6,6,6352179637112
11/05/2026,14:59,Coração Traído,Capítulo 6,6,49cf465c-6d8f-41ca-9355-476cb125e86f
11/05/2026,15:55,Pele Selvagem,Capítulo 6,6,05938f00-2ad1-4a2d-a5da-9f93795845d2
11/05/2026,16:54,Amor e Ódio,Capítulo 6,6,6345112626112
11/05/2026,17:42,RebelDia,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
11/05/2026,17:52,A Mulher Perfeita ,Capítulo 134,134,6375689897112
11/05/2026,18:57,RebelDia,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
11/05/2026,19:05,Gata Selvagem ,Capítulo 188,188,6367087070112
