Data,Hora,Programa,Episódio,Nº do episódio,Media
10/07/2026,03:19,Coração Traído,Capítulo 50,50,759fc740-2477-4a7b-9321-deda748610e9
10/07/2026,03:58,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
10/07/2026,04:08,Pele Selvagem,Capítulo 50,50,197c7f19-96a4-4c9d-b16f-d83bbcfec90e
10/07/2026,05:02,Curiosidades da infância ,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
10/07/2026,05:12,Amor e Ódio,Capítulo 50,50,6345112923112
10/07/2026,05:54,Maite Perroni no Programa Raul Gil ,Maite Perroni no Programa Raul Gil,Maite Perroni no Programa Raul Gil,25000115_rebeldia_1_20_01
10/07/2026,06:13,Para Te Ver Melhor,Capítulo 9,9,6370705577112
10/07/2026,07:07,Camaleões,Capítulo 9,9,6368014380112
10/07/2026,07:59,Rebelde passeia de barco pelo Guarujá ,Rebelde passeia de barco pelo Guarujá,Rebelde passeia de barco pelo Guarujá,25000115_rebeldia_1_13_01
10/07/2026,08:07,Rebelde Temporada 1,Capítulo 50,50,6352183496112
10/07/2026,09:01,Coração Traído,Capítulo 50,50,759fc740-2477-4a7b-9321-deda748610e9
10/07/2026,09:54,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
10/07/2026,10:05,Pele Selvagem,Capítulo 50,50,197c7f19-96a4-4c9d-b16f-d83bbcfec90e
10/07/2026,10:59,Curiosidades da infância ,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
10/07/2026,11:08,Amor e Ódio,Capítulo 50,50,6345112923112
10/07/2026,11:51,Maite Perroni no Programa Raul Gil ,Maite Perroni no Programa Raul Gil,Maite Perroni no Programa Raul Gil,25000115_rebeldia_1_20_01
10/07/2026,12:10,Para Te Ver Melhor,Capítulo 9,9,6370705577112
10/07/2026,13:03,Camaleões,Capítulo 9,9,6368014380112
10/07/2026,13:55,Rebelde passeia de barco pelo Guarujá ,Rebelde passeia de barco pelo Guarujá,Rebelde passeia de barco pelo Guarujá,25000115_rebeldia_1_13_01
10/07/2026,14:04,Rebelde Temporada 1,Capítulo 50,50,6352183496112
10/07/2026,14:57,Coração Traído,Capítulo 50,50,759fc740-2477-4a7b-9321-deda748610e9
10/07/2026,15:51,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
10/07/2026,16:01,Pele Selvagem,Capítulo 50,50,197c7f19-96a4-4c9d-b16f-d83bbcfec90e
10/07/2026,16:55,Curiosidades da infância ,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
