Data,Hora,Programa,Episódio,Nº do episódio,Media
28/07/2026,02:39,Rebelde Temporada 1,Capítulo 62,62,6352185478112
28/07/2026,03:08,Coração Traído,Capítulo 62,62,a4bdcfdf-a974-4574-bff4-6a38525326ea
28/07/2026,04:02,Pele Selvagem,Capítulo 62,62,fadf3ee8-1c81-4273-953f-b019f769a16f
28/07/2026,04:55,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
28/07/2026,05:07,Amor e Ódio,Capítulo 62,62,6345110575112
28/07/2026,05:49,Entrevista com Pedro Damián,Entrevista com Pedro Damián,Entrevista com Pedro Damián,25000115_rebeldia_1_24_01
28/07/2026,06:11,Para Te Ver Melhor,Capítulo 21,21,6371794281112
28/07/2026,07:05,Curiosidades da infância ,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
28/07/2026,07:15,Camaleões,Capítulo 21,21,6368435100112
28/07/2026,08:11,Rebelde Temporada 1,Capítulo 62,62,6352185478112
28/07/2026,09:03,Coração Traído,Capítulo 62,62,a4bdcfdf-a974-4574-bff4-6a38525326ea
28/07/2026,09:58,Pele Selvagem,Capítulo 62,62,fadf3ee8-1c81-4273-953f-b019f769a16f
28/07/2026,10:51,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
28/07/2026,11:03,Amor e Ódio,Capítulo 62,62,6345110575112
28/07/2026,11:44,Entrevista com Pedro Damián,Entrevista com Pedro Damián,Entrevista com Pedro Damián,25000115_rebeldia_1_24_01
28/07/2026,12:06,Para Te Ver Melhor,Capítulo 21,21,6371794281112
28/07/2026,13:00,Curiosidades da infância ,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
28/07/2026,13:10,Camaleões,Capítulo 21,21,6368435100112
28/07/2026,14:06,Rebelde Temporada 1,Capítulo 62,62,6352185478112
28/07/2026,14:59,Coração Traído,Capítulo 62,62,a4bdcfdf-a974-4574-bff4-6a38525326ea
28/07/2026,15:53,Pele Selvagem,Capítulo 62,62,fadf3ee8-1c81-4273-953f-b019f769a16f
28/07/2026,16:46,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
28/07/2026,16:58,Amor e Ódio,Capítulo 62,62,6345110575112
28/07/2026,17:39,Entrevista com Pedro Damián,Entrevista com Pedro Damián,Entrevista com Pedro Damián,25000115_rebeldia_1_24_01
28/07/2026,18:02,Para Te Ver Melhor,Capítulo 21,21,6371794281112
28/07/2026,18:56,Curiosidades da infância ,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
28/07/2026,19:06,Camaleões,Capítulo 21,21,6368435100112
28/07/2026,20:02,Rebelde Temporada 1,Capítulo 62,62,6352185478112
28/07/2026,20:54,Coração Traído,Capítulo 62,62,a4bdcfdf-a974-4574-bff4-6a38525326ea
28/07/2026,21:48,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
28/07/2026,21:57,Pele Selvagem,Capítulo 62,62,fadf3ee8-1c81-4273-953f-b019f769a16f
28/07/2026,22:50,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
28/07/2026,23:02,Amor e Ódio,Capítulo 62,62,6345110575112
28/07/2026,23:43,Entrevista com Pedro Damián,Entrevista com Pedro Damián,Entrevista com Pedro Damián,25000115_rebeldia_1_24_01
29/07/2026,00:06,Para Te Ver Melhor,Capítulo 22,22,6371792700112
29/07/2026,00:59,Camaleões,Capítulo 22,22,6368435389112
29/07/2026,01:48,Rebelde Temporada 1,Capítulo 62,62,6352185478112
29/07/2026,02:38,Coração Traído,Capítulo 62,62,a4bdcfdf-a974-4574-bff4-6a38525326ea
29/07/2026,03:30,Pele Selvagem,Capítulo 62,62,fadf3ee8-1c81-4273-953f-b019f769a16f
29/07/2026,04:22,Amor e Ódio,Capítulo 62,62,6345110575112
