Data,Hora,Programa,Episódio,Nº do episódio,Media
07/06/2026,03:37,Coração Traído,Capítulo 25,25,c92d60d5-e822-4a16-90da-918be756d8ae
07/06/2026,04:30,Pele Selvagem,Capítulo 21,21,95094328-7361-4c8d-acc9-df9497d3fcd7
07/06/2026,05:23,Pele Selvagem,Capítulo 22,22,1d637d0f-b8d4-488e-b52f-feab12b7aae5
07/06/2026,06:14,Pele Selvagem,Capítulo 23,23,c118b9b9-808d-4852-9296-980c2e630d36
07/06/2026,07:07,Pele Selvagem,Capítulo 24,24,819f00e8-81c1-432d-9671-904dd656dd9a
07/06/2026,07:59,Pele Selvagem,Capítulo 25,25,ee5f48c4-c126-41fa-bbe3-4ac20e510aa7
07/06/2026,08:51,Amor e Ódio,Capítulo 21,21,6345111359112
07/06/2026,09:42,Amor e Ódio,Capítulo 22,22,6345111358112
07/06/2026,10:30,Amor e Ódio,Capítulo 23,23,6345112518112
07/06/2026,11:21,Amor e Ódio,Capítulo 24,24,6345112727112
07/06/2026,12:09,Amor e Ódio,Capítulo 25,25,6345111263112
07/06/2026,12:53,Coração Traído,Capítulo 21,21,fd27d7a4-8d62-48ef-a7bd-f52adb7a50b7
07/06/2026,13:48,Coração Traído,Capítulo 22,22,5e3fd6fa-0e48-4f0f-81f2-df354259cc4b
07/06/2026,14:42,Coração Traído,Capítulo 23,23,25bc14c0-9be1-4a1a-8c25-048144651a35
07/06/2026,15:35,Coração Traído,Capítulo 24,24,21204aca-e07d-4865-9f40-f7e890597e2c
07/06/2026,16:29,Coração Traído,Capítulo 25,25,c92d60d5-e822-4a16-90da-918be756d8ae
07/06/2026,17:22,Pele Selvagem,Capítulo 21,21,95094328-7361-4c8d-acc9-df9497d3fcd7
07/06/2026,18:15,Pele Selvagem,Capítulo 22,22,1d637d0f-b8d4-488e-b52f-feab12b7aae5
07/06/2026,19:06,Pele Selvagem,Capítulo 23,23,c118b9b9-808d-4852-9296-980c2e630d36
07/06/2026,19:59,Pele Selvagem,Capítulo 24,24,819f00e8-81c1-432d-9671-904dd656dd9a
07/06/2026,20:51,Pele Selvagem,Capítulo 25,25,ee5f48c4-c126-41fa-bbe3-4ac20e510aa7
07/06/2026,21:43,Amor e Ódio,Capítulo 21,21,6345111359112
07/06/2026,22:34,Amor e Ódio,Capítulo 22,22,6345111358112
07/06/2026,23:22,Amor e Ódio,Capítulo 23,23,6345112518112
08/06/2026,00:13,Amor e Ódio,Capítulo 24,24,6345112727112
08/06/2026,01:01,Amor e Ódio,Capítulo 25,25,6345111263112
08/06/2026,01:46,Gata Selvagem ,Capítulo 222,222,6367087399112
08/06/2026,02:39,Gata Selvagem ,Capítulo 223,223,6367087504112
