Data,Hora,Programa,Episódio,Nº do episódio,Media
06/05/2026,02:49,Rebelde Temporada 1,Capítulo 3,3,6352181707112
06/05/2026,03:08,Coração Traído,Capítulo 3,3,3832f460-c794-4c4a-a9c3-8536610458e3
06/05/2026,04:05,Pele Selvagem,Capítulo 3,3,8ddebb75-f440-45f4-9b35-0ebfe55729d8
06/05/2026,05:03,Amor e Ódio,Capítulo 3,3,6345112429112
06/05/2026,05:51,RebelDia,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
06/05/2026,06:01,A Mulher Perfeita ,Capítulo 131,131,6375690480112
06/05/2026,07:01,RebelDia,Rebelde passeia de barco pelo Guarujá,Rebelde passeia de barco pelo Guarujá,25000115_rebeldia_1_13_01
06/05/2026,07:10,Gata Selvagem ,Capítulo 185,185,6367086294112
06/05/2026,08:04,RebelDia,Valentina entrevista Christian Chávez,Valentina entrevista Christian Chávez,25000115_rebeldia_1_08_01
06/05/2026,08:13,Rebelde Temporada 1,Capítulo 3,3,6352181707112
06/05/2026,09:08,Coração Traído,Capítulo 3,3,3832f460-c794-4c4a-a9c3-8536610458e3
06/05/2026,10:05,Pele Selvagem,Capítulo 3,3,8ddebb75-f440-45f4-9b35-0ebfe55729d8
06/05/2026,11:03,Amor e Ódio,Capítulo 3,3,6345112429112
06/05/2026,11:50,RebelDia,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
06/05/2026,12:00,A Mulher Perfeita ,Capítulo 131,131,6375690480112
06/05/2026,13:01,RebelDia,Rebelde passeia de barco pelo Guarujá,Rebelde passeia de barco pelo Guarujá,25000115_rebeldia_1_13_01
06/05/2026,13:09,Gata Selvagem ,Capítulo 185,185,6367086294112
06/05/2026,14:04,RebelDia,Valentina entrevista Christian Chávez,Valentina entrevista Christian Chávez,25000115_rebeldia_1_08_01
06/05/2026,14:12,Rebelde Temporada 1,Capítulo 3,3,6352181707112
06/05/2026,15:07,Coração Traído,Capítulo 3,3,3832f460-c794-4c4a-a9c3-8536610458e3
06/05/2026,16:04,Pele Selvagem,Capítulo 3,3,8ddebb75-f440-45f4-9b35-0ebfe55729d8
06/05/2026,17:02,Amor e Ódio,Capítulo 3,3,6345112429112
06/05/2026,17:50,RebelDia,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
06/05/2026,18:00,A Mulher Perfeita ,Capítulo 131,131,6375690480112
06/05/2026,19:00,RebelDia,Rebelde passeia de barco pelo Guarujá,Rebelde passeia de barco pelo Guarujá,25000115_rebeldia_1_13_01
06/05/2026,19:09,Gata Selvagem ,Capítulo 185,185,6367086294112
06/05/2026,20:03,RebelDia,Valentina entrevista Christian Chávez,Valentina entrevista Christian Chávez,25000115_rebeldia_1_08_01
06/05/2026,20:12,Rebelde Temporada 1,Capítulo 3,3,6352181707112
06/05/2026,21:07,Coração Traído,Capítulo 3,3,3832f460-c794-4c4a-a9c3-8536610458e3
06/05/2026,22:04,Pele Selvagem,Capítulo 3,3,8ddebb75-f440-45f4-9b35-0ebfe55729d8
06/05/2026,23:02,Amor e Ódio,Capítulo 3,3,6345112429112
06/05/2026,23:49,RebelDia,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
07/05/2026,00:00,A Mulher Perfeita ,Capítulo 132,132,6375688826112
07/05/2026,00:57,RebelDia,Entrevista com Pedro Damián,Entrevista com Pedro Damián,25000115_rebeldia_1_24_01
07/05/2026,01:21,Gata Selvagem ,Capítulo 186,186,6367085724112
07/05/2026,02:20,Rebelde Temporada 1,Capítulo 4,4,6352180627112
07/05/2026,03:14,Coração Traído,Capítulo 4,4,047889cf-2422-45c1-a787-f25439d54414
