Data,Hora,Programa,Episódio,Nº do episódio,Media
13/08/2026,01:45,Camaleões,Capítulo 24,24,6368434497112
13/08/2026,02:24,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
13/08/2026,02:33,Rebelde Temporada 1,Capítulo 64,64,6352184210112
13/08/2026,03:22,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,25000115_rebeldia_1_26_01
13/08/2026,03:29,Coração Traído,Capítulo 64,64,336fc110-4ae7-4043-b42f-3c29db4e8ce6
13/08/2026,03:46,Para Te Ver Melhor,Capítulo 24,24,6371792228112
13/08/2026,04:02,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
13/08/2026,04:12,Amor e Ódio,Capítulo 64,64,6345112161112
13/08/2026,05:12,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
13/08/2026,05:24,Rodolfo acompanha RBD no México,Rodolfo acompanha RBD no México,Rodolfo acompanha RBD no México,25000115_rebeldia_1_12_01
13/08/2026,05:44,Para Te Ver Melhor,Capítulo 24,24,6371792228112
13/08/2026,06:39,Rebelde passeia de barco pelo Guarujá ,Rebelde passeia de barco pelo Guarujá,Rebelde passeia de barco pelo Guarujá,25000115_rebeldia_1_13_01
13/08/2026,06:47,Camaleões,Capítulo 24,24,6368434497112
13/08/2026,07:40,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
13/08/2026,07:49,Rebelde Temporada 1,Capítulo 64,64,6352184210112
13/08/2026,08:38,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,25000115_rebeldia_1_26_01
13/08/2026,08:44,Para Te Ver Melhor,Capítulo 24,24,6371792228112
13/08/2026,09:39,Rebelde passeia de barco pelo Guarujá ,Rebelde passeia de barco pelo Guarujá,Rebelde passeia de barco pelo Guarujá,25000115_rebeldia_1_13_01
13/08/2026,09:47,Camaleões,Capítulo 24,24,6368434497112
13/08/2026,10:40,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
13/08/2026,10:49,Rebelde Temporada 1,Capítulo 64,64,6352184210112
13/08/2026,11:38,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,25000115_rebeldia_1_26_01
13/08/2026,11:45,Camaleões,Capítulo 24,24,6368434497112
13/08/2026,11:53,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
13/08/2026,12:01,Rebelde Temporada 1,Capítulo 64,64,6352184210112
13/08/2026,12:51,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,25000115_rebeldia_1_26_01
13/08/2026,12:58,Coração Traído,Capítulo 64,64,336fc110-4ae7-4043-b42f-3c29db4e8ce6
13/08/2026,13:53,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
13/08/2026,14:01,Pele Selvagem,Capítulo 64,64,98e877e7-8ca8-4c61-9038-1597d4a92563
13/08/2026,14:52,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
13/08/2026,15:03,Amor e Ódio,Capítulo 64,64,6345112161112
13/08/2026,15:44,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
13/08/2026,15:56,Para Te Ver Melhor,Capítulo 24,24,6371792228112
13/08/2026,16:43,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
13/08/2026,16:53,Amor e Ódio,Capítulo 64,64,6345112161112
13/08/2026,17:53,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
13/08/2026,18:05,Rodolfo acompanha RBD no México,Rodolfo acompanha RBD no México,Rodolfo acompanha RBD no México,25000115_rebeldia_1_12_01
13/08/2026,18:25,Para Te Ver Melhor,Capítulo 24,24,6371792228112
13/08/2026,19:20,Rebelde passeia de barco pelo Guarujá ,Rebelde passeia de barco pelo Guarujá,Rebelde passeia de barco pelo Guarujá,25000115_rebeldia_1_13_01
13/08/2026,19:28,Camaleões,Capítulo 24,24,6368434497112
13/08/2026,20:21,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
13/08/2026,20:30,Rebelde Temporada 1,Capítulo 64,64,6352184210112
13/08/2026,21:19,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,Curiosidades dos integrantes do RBD,25000115_rebeldia_1_26_01
13/08/2026,21:26,Coração Traído,Capítulo 64,64,336fc110-4ae7-4043-b42f-3c29db4e8ce6
13/08/2026,22:21,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
13/08/2026,22:30,Pele Selvagem,Capítulo 64,64,98e877e7-8ca8-4c61-9038-1597d4a92563
13/08/2026,23:20,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
13/08/2026,23:31,Amor e Ódio,Capítulo 64,64,6345112161112
