Data,Hora,Programa,Episódio,Nº do episódio,Media
04/06/2026,04:07,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
04/06/2026,04:17,Pele Selvagem,Capítulo 24,24,819f00e8-81c1-432d-9671-904dd656dd9a
04/06/2026,05:10,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
04/06/2026,05:18,Amor e Ódio,Capítulo 24,24,6345112727112
04/06/2026,06:10,Gata Selvagem ,Capítulo 218,218,6367086435112
04/06/2026,07:04,Gata Selvagem ,Capítulo 219,219,6367086933112
04/06/2026,07:55,Eliana entrevista Anahí,Eliana entrevista Anahí,23,3a4f8e37-39d4-44e7-8919-891d7d790bbe
04/06/2026,08:16,Rebelde Temporada 1,Capítulo 24,24,6352056718112
04/06/2026,09:07,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
04/06/2026,09:19,Coração Traído,Capítulo 24,24,21204aca-e07d-4865-9f40-f7e890597e2c
04/06/2026,10:13,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
04/06/2026,10:24,Pele Selvagem,Capítulo 24,24,819f00e8-81c1-432d-9671-904dd656dd9a
04/06/2026,11:16,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
04/06/2026,11:25,Amor e Ódio,Capítulo 24,24,6345112727112
04/06/2026,12:16,Gata Selvagem ,Capítulo 218,218,6367086435112
04/06/2026,13:10,Gata Selvagem ,Capítulo 219,219,6367086933112
04/06/2026,14:02,Eliana entrevista Anahí,Eliana entrevista Anahí,23,3a4f8e37-39d4-44e7-8919-891d7d790bbe
04/06/2026,14:22,Rebelde Temporada 1,Capítulo 24,24,6352056718112
04/06/2026,15:13,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
04/06/2026,15:25,Coração Traído,Capítulo 24,24,21204aca-e07d-4865-9f40-f7e890597e2c
04/06/2026,16:20,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
04/06/2026,16:30,Pele Selvagem,Capítulo 24,24,819f00e8-81c1-432d-9671-904dd656dd9a
04/06/2026,17:22,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
04/06/2026,17:31,Amor e Ódio,Capítulo 24,24,6345112727112
04/06/2026,18:23,Gata Selvagem ,Capítulo 218,218,6367086435112
04/06/2026,19:16,Gata Selvagem ,Capítulo 219,219,6367086933112
04/06/2026,20:09,Rebelde Temporada 1,Capítulo 24,24,6352056718112
04/06/2026,20:59,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
04/06/2026,21:11,Coração Traído,Capítulo 24,24,21204aca-e07d-4865-9f40-f7e890597e2c
04/06/2026,22:06,Pele Selvagem,Capítulo 24,24,819f00e8-81c1-432d-9671-904dd656dd9a
04/06/2026,22:58,Show do Rebelde em Brasília,Show do Rebelde em Brasília,Show do Rebelde em Brasília,25000115_rebeldia_1_30_01
04/06/2026,23:07,Amor e Ódio,Capítulo 24,24,6345112727112
04/06/2026,23:55,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
05/06/2026,00:05,Maite Perroni no Programa Raul Gil ,Maite Perroni no Programa Raul Gil,Maite Perroni no Programa Raul Gil,25000115_rebeldia_1_20_01
05/06/2026,00:24,Gata Selvagem ,Capítulo 220,220,6367086252112
05/06/2026,01:18,Gata Selvagem ,Capítulo 221,221,6367086726112
05/06/2026,02:10,Curiosidades da infância ,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
05/06/2026,02:20,Rebelde Temporada 1,Capítulo 25,25,6352056228112
05/06/2026,03:10,Rodolfo acompanha RBD no México,Rodolfo acompanha RBD no México,Rodolfo acompanha RBD no México,25000115_rebeldia_1_12_01
