Data,Hora,Programa,Episódio,Nº do episódio,Media
01/07/2026,03:56,Curiosidades da infância ,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
01/07/2026,04:06,Coração Traído,Capítulo 43,43,419d89a4-1a67-4ab8-8580-a7133ef473ff
01/07/2026,05:02,Rebelde passeia de barco pelo Guarujá ,Rebelde passeia de barco pelo Guarujá,Rebelde passeia de barco pelo Guarujá,25000115_rebeldia_1_13_01
01/07/2026,05:10,Amor e Ódio,Capítulo 43,43,6345112331112
01/07/2026,05:51,Eliana entrevista Dulce María,Eliana entrevista Dulce María,Eliana entrevista Dulce María,25000115_rebeldia_1_17_01
01/07/2026,06:05,Para Te Ver Melhor,Capítulo 2,2,6370704868112
01/07/2026,07:00,Camaleões,Capítulo 2,2,6368014181112
01/07/2026,07:51,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
01/07/2026,08:01,Rebelde Temporada 1,Capítulo 43,43,6352184178112
01/07/2026,08:53,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
01/07/2026,09:05,Pele Selvagem,Capítulo 43,43,5012a7d7-55e0-4e75-9855-fffa34de7566
01/07/2026,09:58,Curiosidades da infância ,Curiosidades da infância,Curiosidades da infância,25000115_rebeldia_1_03_01
01/07/2026,10:08,Coração Traído,Capítulo 43,43,419d89a4-1a67-4ab8-8580-a7133ef473ff
01/07/2026,11:04,Rebelde passeia de barco pelo Guarujá ,Rebelde passeia de barco pelo Guarujá,Rebelde passeia de barco pelo Guarujá,25000115_rebeldia_1_13_01
01/07/2026,11:12,Amor e Ódio,Capítulo 43,43,6345112331112
01/07/2026,11:53,Eliana entrevista Dulce María,Eliana entrevista Dulce María,Eliana entrevista Dulce María,25000115_rebeldia_1_17_01
01/07/2026,12:07,Para Te Ver Melhor,Capítulo 2,2,6370704868112
01/07/2026,13:02,Camaleões,Capítulo 2,2,6368014181112
01/07/2026,13:53,Rebelde no Domingo Legal - Músicas Inéditas,"A banda se apresenta no palco do Domingo Legal com os sucessos “Aún Hay Algo”, “Nuestro Amor” e “Ser o Parecer”.",Rebelde no Domingo Legal - Músicas Inéditas,25000115_rebeldia_1_42_01
01/07/2026,14:03,Rebelde Temporada 1,Capítulo 43,43,6352184178112
01/07/2026,14:55,Bastidores da turnê de RBD,Bastidores da turnê de RBD,Bastidores da turnê de RBD,25000115_rebeldia_1_11_01
01/07/2026,15:07,Coração Traído,Capítulo 43,43,419d89a4-1a67-4ab8-8580-a7133ef473ff
