Data,Programa,Episódio,Media
27/04/2026,"E Agora, Quem Vai Ficar Com a Mamãe?",Episódio 1,bf627a9e-8bf3-4d07-96ae-17bae73cf023
28/04/2026,"E Agora, Quem Vai Ficar Com a Mamãe?",Episódio 2,e67419c6-044a-4ebc-a6d6-4dbdbd453ef1
29/04/2026,"E Agora, Quem Vai Ficar Com a Mamãe?",Episódio 3,5c87c4bb-c961-4032-9432-08a94f4860a8
30/04/2026,"E Agora, Quem Vai Ficar Com a Mamãe?",Episódio 4,436536d7-2a78-4762-ab4c-327c97b6d470
01/05/2026,"E Agora, Quem Vai Ficar Com a Mamãe?",Episódio 5,2021f5f2-8d88-49e5-a432-2de51d0b3d4b
