Data,Programa,Episódio,Media
19/05/2026,Semana Rebelde no Fofocalizando - Anahí,Semana Rebelde no Fofocalizando - Anahí,6af0fbc0-1482-4f86-b378-74bcb66df52d
10/07/2026,Semana Rebelde no Fofocalizando - Anahí,Semana Rebelde no Fofocalizando - Anahí,25000115_rebeldia_1_05_01
